,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
771,Petrol,Hatchback,Manual,3,Maruti,Maruti Omni,2001,1.2,Third Party insurance,30000,14.0,5.0,Blue,Bangalore,1.20 Lakh,1.2
772,Diesel,SUV,Manual,2,Nissan,Nissan Terrano,2013,5.75,Third Party insurance,120000,19.01,5.0,Others,Bangalore,5.75 Lakh,5.75
773,Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GLC,2018,37.95,Comprehensive,64389,17.9,5.0,Silver,Bangalore,37.95 Lakh,37.95
774,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,2014,2.6,Third Party insurance,60000,22.74,5.0,Others,Bangalore,2.60 Lakh,2.6
775,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2015,5.39,Comprehensive,67245,22.38,5.0,Silver,Bangalore,5.39 Lakh,5.39
776,Petrol,Sedan,Automatic,2,Hyundai,Hyundai Verna,2018,10.06,Zero Dep,30518,17.0,5.0,Silver,Bangalore,10.06 Lakh,10.06
777,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2022,39.0,Third Party insurance,20000,19.24556842105263,5.0,Others,Bangalore,39 Lakh,39.0
778,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2018,7.96,Third Party,102407,28.09,5.0,White,Bangalore,7.96 Lakh,7.96
779,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,6.36,Zero Dep,53606,18.6,5.0,Red,Bangalore,6.36 Lakh,6.36
780,Diesel,SUV,Manual,1,Skoda,Skoda Yeti,2015,14.0,Third Party insurance,90000,17.67,5.0,Brown,Bangalore,14 Lakh,14.0
781,Petrol,Hatchback,Manual,2,Maruti,Maruti Baleno,2016,6.15,Comprehensive,44253,21.4,5.0,Blue,Bangalore,6.15 Lakh,6.15
782,Cng,Minivans,Manual,1,Maruti,Maruti Eeco,2021,5.0,Third Party insurance,40000,20.88,5.0,Others,Bangalore,5 Lakh,5.0
783,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2021,7.18,Third Party,34702,19.01,5.0,Red,Bangalore,7.18 Lakh,7.18
784,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2012,4.36,Third Party,42762,22.38,5.0,Silver,Bangalore,4.36 Lakh,4.36
785,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto K10,2015,2.8,Third Party insurance,50000,23.95,5.0,Others,Bangalore,2.80 Lakh,2.8
786,Petrol,MUV,Automatic,1,Renault,Renault Triber,2022,7.8,Third Party insurance,30000,18.2,7.0,Others,Bangalore,7.80 Lakh,7.8
787,Diesel,SUV,Automatic,2,Mahindra,Mahindra XUV500,2016,9.0,Third Party insurance,80000,16.0,7.0,Others,Bangalore,9 Lakh,9.0
788,Cng,MUV,Manual,1,Maruti,Maruti Ertiga,2022,13.0,Third Party insurance,20000,26.11,7.0,Others,Bangalore,13 Lakh,13.0
