it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Max Power.1,Seating Capacity.1,Steering Type.1,Tyre Type.1,Alloy Wheel Size.1,No Door Numbers.1,Gear Box,Drive Type,Seating Capacity.2,Steering Type.2,Tyre Type.2,No Door Numbers.2,Alloy Wheel Size.2,City,Top Speed.1,Drive Type.1,Turning Radius.1,Rear Brake Type.1,Gear Box.1,Front Brake Type.1,Acceleration.1
0,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",12.05 kmpl,2179 CC,7.0,Gray,120bhp@4000rpm,,,,,,5 Speed,2 WD,7.0,Power,"Tubeless,Radial",5.0,16,Bangalore,,,,,,,
0,Petrol,Hatchback,Automatic,1,Mini,Mini 3 DOOR,2016,₹ 36.75 Lakh,Comprehensive,"40,000 Kms",17.33 kmpl,1998 CC,4.0,White,189.08bhp@4700-6000pm,,,,,,7 Speed,2WD,4.0,electric,Runflat Tyres,3.0,16,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2019,₹ 6.10 Lakh,Comprehensive,"60,932 Kms",23.84 kmpl,1199 CC,5.0,Red,83.83bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,15,Bangalore,,,,,,,
0,Petrol,SUV,Automatic,2,Kia,Kia Seltos,2020,₹ 16.75 Lakh,Comprehensive,"33,539 Kms",16.5 kmpl,1353 CC,5.0,White,138.08bhp@6000rpm,,,,,,7-Speed DCT,FWD,5.0,Electric,"Tubeless, Radial",5.0,17,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2018,₹ 5.30 Lakh,Comprehensive,"66,837 Kms",23.84 kmpl,1199 CC,5.0,Brown,84bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,,Bangalore,,,,,,,
0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,₹ 79.90 Lakh,Third Party,400 Kms,,2925 CC,5.0,White,281.61bhp@3400-4600rpm,,,,,,9-Speed,,5.0,Electric,,4.0,18,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,2008,₹ 2.50 Lakh,Third Party insurance,"60,000 Kms",19.7 kmpl,796 CC,5.0,Others,46.3bhp@6200rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,12,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,₹ 7.15 Lakh,Third Party insurance,"44,285 Kms",18.6 kmpl,1197 CC,5.0,Grey,81.86bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,,Bangalore,,,,,,,
0,Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,₹ 35 Lakh,Third Party insurance,"1,00,000 Kms",11.3 kmpl,2987 CC,7.0,Others,254.8bhp@3600rpm,,,,,,7 Speed,AWD,7.0,Power,"Tubeless,Radial",5.0,19,Bangalore,,,,,,,
0,Diesel,SUV,Automatic,1,Tata,Tata New Safari,2021,₹ 22.50 Lakh,Comprehensive,"25,000 Kms",14.08 kmpl,1956 CC,6.0,White,167.67bhp@3750rpm,,,,,,6-Speed,,6.0,Power,"Tubeless, Radial",5.0,18,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,₹ 6.25 Lakh,Comprehensive,"36,735 Kms",18.9 kmpl,1197 CC,5.0,Blue,81.86bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,14,Bangalore,,,,,,,
0,Diesel,SUV,Automatic,1,Audi,Audi Q7,2015,₹ 26.95 Lakh,Comprehensive,"79,000 Kms",12.07 kmpl,2967 CC,7.0,White,241.4bhp@3800-4400rpm,,,,,,8 Speed Tiptronic,AWD,7.0,Power,"Tubeless,Radial",5.0,18,Bangalore,,,,,,,
0,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",12.05 kmpl,2179 CC,8.0,Gray,120bhp@4000rpm,,,,,,5 Speed,FWD,8.0,Power,"Tubeless,Radial",5.0,16,Bangalore,,,,,,,
0,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2022,₹ 5.50 Lakh,Third Party insurance,"10,000 Kms",22 kmpl,999 CC,5.0,Others,67bhp@5500rpm,,,,,,5 Speed,FWD,5.0,Electric,"Tubeless,Radial",5.0,,Bangalore,,,,,,,
0,Diesel,SUV,Manual,1,Tata,Tata Nexon,2018,₹ 8.25 Lakh,Comprehensive,"53,645 Kms",21.5 kmpl,1497 CC,5.0,White,108.5bhp@3750rpm,,,,,,6 Speed,FWD,5.0,Power,Tubeless Radial Tyres,5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,2006,₹ 2.20 Lakh,Third Party insurance,"1,00,000 Kms",15.3 kmpl,1341 CC,5.0,Others,83 PS @ 5500 rpm ,,,,,,5 Speed,,5.0,Power,"Tubeless,Radial",5.0,13,Bangalore,,,,,,,
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2014,₹ 4.28 Lakh,Comprehensive,"53,982 Kms",26.68 kmpl,998 CC,5.0,Others,65.71bhp@5500rpm,,,,,,5-Speed,,5.0,Electric,"Tubeless, Radial",5.0,,Bangalore,,,,,,,
0,Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,2014,₹ 6.95 Lakh,Third Party insurance,"1,10,000 Kms",21.14 kmpl,1498 CC,5.0,Black,103.52bhp@4400rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,15,Bangalore,,,,,,,
0,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2019,₹ 9.30 Lakh,Third Party insurance,"37,741 Kms",15.9 kmpl,1496 CC,5.0,White,120.69bhp@6500rpm,,,,,,5 Speed,FWD,5.0,Electric,"Tubeless,Radial",4.0,R16,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,₹ 4.55 Lakh,Comprehensive,"17,367 Kms",22.05 kmpl,796 CC,5.0,Silver,47.33bhp@6000rpm,,,,,,5 Speed,,5.0,,Tubeless Tyres,5.0,,Bangalore,,,,,,,
0,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2017,₹ 11.95 Lakh,Comprehensive,"94,000 Kms",19.67 kmpl,1582 CC,5.0,Grey,126.2bhp@4000rpm,,,,,,6 Speed,FWD,5.0,Power,Tubeless,5.0,16,Bangalore,,,,,,,
0,Diesel,SUV,Automatic,1,Tata,Tata Harrier,2021,₹ 21.75 Lakh,Comprehensive,"33,700 Kms",14.6 kmpl,1956 CC,5.0,Grey,167.67bhp@3750rpm,,,,,,6-Speed,,5.0,Power,"Tubeless, Radial",5.0,17,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2014,₹ 4.42 Lakh,Comprehensive,"54,601 Kms",22.38 kmpl,1197 CC,5.0,White,88.50bhp@6000rpm,,,,,,5-Speed,,5.0,Electric,"Radial, Tubeless",5.0,,Bangalore,,,,,,,
0,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2018,₹ 6.90 Lakh,Third Party insurance,"1,10,000 Kms",28.4 kmpl,1248 CC,5.0,Others,74bhp@4000rpm,,,,,,5,,5.0,Power,Tubeless,5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2017,₹ 5 Lakh,Third Party,"64,000 Kms",23.1 kmpl,998 CC,5.0,Red,67.04bhp@6000rpm,,,,,,5 Speed ,FWD,5.0,Power,"Tubeless, Radial",5.0,14,Bangalore,,,,,,,
0,Diesel,Sedan,Automatic,1,BMW,BMW 3 Series GT,2016,₹ 33.95 Lakh,Comprehensive,"40,525 Kms",21.76 kmpl,1995 CC,5.0,White,188bhp@4000rpm,,,,,,8 Speed,RWD,5.0,Power,Run-Flat,4.0,18,Bangalore,,,,,,,
0,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2015,₹ 6.50 Lakh,Third Party insurance,"1,00,000 Kms",26.21 kmpl,1248 CC,5.0,White,88.5bhp@4000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless, Radial",4.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2016,₹ 5.37 Lakh,Comprehensive,"44,154 Kms",19 kmpl,1199 CC,5.0,White,88.7bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,15,Bangalore,,,,,,,
0,Diesel,MUV,Manual,1,Renault,Renault Lodgy,2016,₹ 7.50 Lakh,Third Party insurance,"70,000 Kms",19.98 kmpl,1461 CC,7.0,White,108.5bhp@4000rpm,,,,,,6 Speed,FWD,7.0,Power,Tubeless,5.0,15,Bangalore,,,,,,,
0,Petrol,Sedan,Automatic,1,Skoda,Skoda Octavia,2018,₹ 17.90 Lakh,Comprehensive,"79,000 Kms",15.1 kmpl,1798 CC,5.0,White,178bhp@5100-6200rpm,,,,,,7 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,16,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2017,₹ 4.68 Lakh,Third Party insurance,"68,039 Kms",23.84 kmpl,1199 CC,5.0,Orange,84bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,₹ 4.20 Lakh,Third Party insurance,"60,000 Kms",18.5 kmpl,1197 CC,5.0,Silver,85.80bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,₹ 4.20 Lakh,Third Party insurance,"60,000 Kms",18.5 kmpl,1197 CC,5.0,Silver,85.80bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,₹ 9.20 Lakh,Third Party insurance,"10,000 Kms",20 kmpl,998 CC,5.0,Others,118.36bhp@6000rpm,,,,,,6 Speed IMT,,5.0,Electric,"Tubeless, Radial",5.0,16,Bangalore,,,,,,,
0,Petrol,Sedan,Manual,1,Honda,Honda City,2013,₹ 5.33 Lakh,Third Party,"49,873 Kms",16.8 kmpl,1497 CC,5.0,Yellow,116.3bhp@6600rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,15,Bangalore,,,,,,,
0,Petrol,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,2013,₹ 8.50 Lakh,Third Party insurance,"90,000 Kms",17.2 kmpl,1197 CC,5.0,Others,103.6bhp@5000rpm,,,,,,7 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,15,Bangalore,,,,,,,
0,Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,2017,₹ 7.51 Lakh,Third Party insurance,"48,960 Kms",21.13 kmpl,1498 CC,5.0,Silver,108.6bhp@4000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,15,Bangalore,,,,,,,
0,Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,₹ 3.88 Lakh,Third Party insurance,"70,000 Kms",24 kmpl,1120 CC,5.0,Others,70bhp@4000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,₹ 4.90 Lakh,Comprehensive,"68,000 Kms",18.5 kmpl,1197 CC,5.0,Silver,82.85bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,14,Bangalore,,,,,,,
0,Diesel,SUV,Manual,1,Mahindra,Mahindra KUV 100,2016,₹ 4.94 Lakh,Third Party,"23,017 Kms",25.32 kmpl,1198 CC,6.0,Orange,77bhp@3750rpm,,,,,,5 Speed,FWD,6.0,Power,"Tubeless,Radial",5.0,,Bangalore,,,,,,,
0,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,₹ 5.25 Lakh,Comprehensive,"83,000 Kms",21.27 kmpl,1396 CC,5.0,Brown,88.76bhp@4000rpm,,,,,,6 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,14,Bangalore,,,,,,,
