it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Gear Box,Drive Type,City
0,Diesel,Hatchback,"1,20,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2017,₹ 7.10 Lakh,Third Party insurance,"1,20,000 Kms",22.54 kmpl,1396 CC,5.0,Others,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"56,997",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,₹ 6.92 Lakh,Zero Dep,"56,997 Kms",21.4 kmpl,1197 CC,5.0,Blue,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"1,20,000",Manual,1,1st Owner,Hyundai,Hyundai Elantra,2013,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",16.3 kmpl,1797 CC,5.0,Others,6 Speed ,FWD,Bangalore
0,Diesel,Sedan,"59,000",Automatic,1,1st Owner,Audi,Audi A6,2015,₹ 20.90 Lakh,Third Party insurance,"59,000 Kms",18.53 kmpl,1968 CC,5.0,White,7 Speed,FWD,Bangalore
0,Petrol,Hatchback,"18,835",Manual,1,1st Owner,Maruti,Maruti Alto 800,2021,₹ 4.11 Lakh,Zero Dep,"18,835 Kms",22.05 kmpl,796 CC,5.0,Silver,5 Speed,,Bangalore
0,Diesel,SUV,"1,20,000",Manual,2,2nd Owner,Mahindra,Mahindra Scorpio,2010,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",12.05 kmpl,2179 CC,7.0,Gray,5 Speed,2 WD,Bangalore
0,Petrol,Hatchback,"40,000",Automatic,1,1st Owner,Mini,Mini 3 DOOR,2016,₹ 36.75 Lakh,Comprehensive,"40,000 Kms",17.33 kmpl,1998 CC,4.0,White,7 Speed,2WD,Bangalore
0,Petrol,Hatchback,"60,932",Manual,1,1st Owner,Tata,Tata Tiago,2019,₹ 6.10 Lakh,Comprehensive,"60,932 Kms",23.84 kmpl,1199 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,"33,539",Automatic,2,2nd Owner,Kia,Kia Seltos,2020,₹ 16.75 Lakh,Comprehensive,"33,539 Kms",16.5 kmpl,1353 CC,5.0,White,7-Speed DCT,FWD,Bangalore
0,Petrol,Hatchback,"66,837",Manual,2,2nd Owner,Tata,Tata Tiago,2018,₹ 5.30 Lakh,Comprehensive,"66,837 Kms",23.84 kmpl,1199 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Diesel,Sedan,400,Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz E-Class,2022,₹ 79.90 Lakh,Third Party,400 Kms,,2925 CC,5.0,White,9-Speed,,Bangalore
0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Maruti,Maruti Alto,2008,₹ 2.50 Lakh,Third Party insurance,"60,000 Kms",19.7 kmpl,796 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"44,285",Manual,1,1st Owner,Hyundai,Hyundai i20,2019,₹ 7.15 Lakh,Third Party insurance,"44,285 Kms",18.6 kmpl,1197 CC,5.0,Grey,5 Speed,FWD,Bangalore
0,Diesel,SUV,"1,00,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz GL-Class,2014,₹ 35 Lakh,Third Party insurance,"1,00,000 Kms",11.3 kmpl,2987 CC,7.0,Others,7 Speed,AWD,Bangalore
0,Diesel,SUV,"25,000",Automatic,1,1st Owner,Tata,Tata New Safari,2021,₹ 22.50 Lakh,Comprehensive,"25,000 Kms",14.08 kmpl,1956 CC,6.0,White,6-Speed,,Bangalore
0,Petrol,Hatchback,"36,735",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2018,₹ 6.25 Lakh,Comprehensive,"36,735 Kms",18.9 kmpl,1197 CC,5.0,Blue,5 Speed,FWD,Bangalore
0,Diesel,SUV,"79,000",Automatic,1,1st Owner,Audi,Audi Q7,2015,₹ 26.95 Lakh,Comprehensive,"79,000 Kms",12.07 kmpl,2967 CC,7.0,White,8 Speed Tiptronic,AWD,Bangalore
0,Diesel,SUV,"1,20,000",Manual,2,2nd Owner,Mahindra,Mahindra Scorpio,2010,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",12.05 kmpl,2179 CC,8.0,Gray,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"10,000",Automatic,1,1st Owner,Renault,Renault KWID,2022,₹ 5.50 Lakh,Third Party insurance,"10,000 Kms",22 kmpl,999 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Diesel,SUV,"53,645",Manual,1,1st Owner,Tata,Tata Nexon,2018,₹ 8.25 Lakh,Comprehensive,"53,645 Kms",21.5 kmpl,1497 CC,5.0,White,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"1,00,000",Manual,2,2nd Owner,Hyundai,Hyundai Getz,2006,₹ 2.20 Lakh,Third Party insurance,"1,00,000 Kms",15.3 kmpl,1341 CC,5.0,Others,5 Speed,,Bangalore
0,Petrol,Hatchback,"53,982",Automatic,1,1st Owner,Maruti,Maruti Celerio,2014,₹ 4.28 Lakh,Comprehensive,"53,982 Kms",26.68 kmpl,998 CC,5.0,Others,5-Speed,,Bangalore
0,Diesel,Sedan,"1,10,000",Manual,1,1st Owner,Skoda,Skoda Rapid,2014,₹ 6.95 Lakh,Third Party insurance,"1,10,000 Kms",21.14 kmpl,1498 CC,5.0,Black,5 Speed,FWD,Bangalore
0,Petrol,SUV,"37,741",Manual,2,2nd Owner,Ford,Ford Ecosport,2019,₹ 9.30 Lakh,Third Party insurance,"37,741 Kms",15.9 kmpl,1496 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"17,367",Manual,1,1st Owner,Maruti,Maruti Alto 800,2021,₹ 4.55 Lakh,Comprehensive,"17,367 Kms",22.05 kmpl,796 CC,5.0,Silver,5 Speed,,Bangalore
0,Diesel,SUV,"94,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,₹ 11.95 Lakh,Comprehensive,"94,000 Kms",19.67 kmpl,1582 CC,5.0,Grey,6 Speed,FWD,Bangalore
0,Diesel,SUV,"33,700",Automatic,1,1st Owner,Tata,Tata Harrier,2021,₹ 21.75 Lakh,Comprehensive,"33,700 Kms",14.6 kmpl,1956 CC,5.0,Grey,6-Speed,,Bangalore
0,Petrol,Hatchback,"54,601",Manual,3,3rd Owner,Maruti,Maruti Swift,2014,₹ 4.42 Lakh,Comprehensive,"54,601 Kms",22.38 kmpl,1197 CC,5.0,White,5-Speed,,Bangalore
0,Diesel,Hatchback,"1,10,000",Manual,1,1st Owner,Maruti,Maruti Swift,2018,₹ 6.90 Lakh,Third Party insurance,"1,10,000 Kms",28.4 kmpl,1248 CC,5.0,Others,5,,Bangalore
0,Petrol,Hatchback,"64,000",Manual,2,2nd Owner,Maruti,Maruti Celerio,2017,₹ 5 Lakh,Third Party,"64,000 Kms",23.1 kmpl,998 CC,5.0,Red,5 Speed ,FWD,Bangalore
0,Diesel,Sedan,"40,525",Automatic,1,1st Owner,BMW,BMW 3 Series GT,2016,₹ 33.95 Lakh,Comprehensive,"40,525 Kms",21.76 kmpl,1995 CC,5.0,White,8 Speed,RWD,Bangalore
0,Diesel,Sedan,"1,00,000",Manual,1,1st Owner,Maruti,Maruti Ciaz,2015,₹ 6.50 Lakh,Third Party insurance,"1,00,000 Kms",26.21 kmpl,1248 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"44,154",Automatic,2,2nd Owner,Honda,Honda Jazz,2016,₹ 5.37 Lakh,Comprehensive,"44,154 Kms",19 kmpl,1199 CC,5.0,White,5 Speed,FWD,Bangalore
0,Diesel,MUV,"70,000",Manual,1,1st Owner,Renault,Renault Lodgy,2016,₹ 7.50 Lakh,Third Party insurance,"70,000 Kms",19.98 kmpl,1461 CC,7.0,White,6 Speed,FWD,Bangalore
0,Petrol,Sedan,"79,000",Automatic,1,1st Owner,Skoda,Skoda Octavia,2018,₹ 17.90 Lakh,Comprehensive,"79,000 Kms",15.1 kmpl,1798 CC,5.0,White,7 Speed,FWD,Bangalore
