it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Ground Clearance Unladen,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Top Speed,Acceleration,City
0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2020,8155,Sportz Turbo iMT,₹ 7.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2020,Third Party insurance,Petrol,5 Seats,"40,000 Kms",TS07,First Owner,998 cc,Manual,2020.0,20 kmpl,998 CC,118.36bhp,171.62nm,,5,Others,1.0 l Turbo GDi petrol,998,118.36bhp@6000rpm,171.62nm@1500-4000rpm,3.0,4.0,,,,,Yes,,,,,,,3995mm,1775mm,1505mm,2580mm,,,1220,,,,,,,,6 Speed IMT,,5,Electric,,Disc,Drum,"Tubeless,Radial",,5,311,,,Hyderabad
0,Petrol,Sedan,"39,886",Automatic,2,2nd Owner,Hyundai,Hyundai Aura,2020,7331,SX Plus AMT,₹ 7.66 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2020,Third Party,Petrol,5 Seats,"39,886 Kms",TS22,Second Owner,1197 cc,Automatic,2020.0,20.1 kmpl,1197 CC,81.86bhp,113.8nm,15,5,White,1.2 l Kappa dual petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,,,,No,,,,,,,3995mm,1680,1520,2450,,,1110,,,,,,,,5-Speed,,5,Electric,,Disc,Drum,"Tubeless,Radial",15,4,,,,Hyderabad
0,Diesel,SUV,"1,07,588",Manual,1,1st Owner,Renault,Renault Duster,2014,5066,85PS Diesel RxL,₹ 4.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2015,Third Party insurance,Diesel,5 Seats,"1,07,588 Kms",TS08,First Owner,1461 cc,Manual,2014.0,20.45 kmpl,1461 CC,83.8bhp,200Nm,16,5,White,dCi Diesel Engine ,1461,83.8bhp@3750rpm,200Nm@1900rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,,,,,,4315mm,1822mm,1695mm,2673mm,1560mm,1567mm,1240,1758kg,,,,,,,5 speed,FWD,5,Power,5.2 metres,Ventilated Disc,Drum,"Tubeless,Radial",16,5,475-litres,,,Hyderabad
0,Petrol,Hatchback,"36,621",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5604,1.2 Kappa Sportz BSIV,₹ 5.19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2018,Third Party insurance,Petrol,5 Seats,"36,621 Kms",TS13,First Owner,1197 cc,Manual,2017.0,18.9 kmpl,1197 CC,81.86bhp,113.75nm,,5,Red,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1120,,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,Tubeless,,5,256,165 Kmph,12.9 Seconds,Hyderabad
0,Diesel,SUV,"80,000",Manual,1,1st Owner,MG,MG Hector Plus,2020,7907,Sharp Diesel MT,₹ 16 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2020,Third Party insurance,Diesel,6 Seats,"80,000 Kms",AP39,First Owner,1956 cc,Manual,2020.0,16.65 kmpl,1956 CC,167.67bhp,350nm,18,6,Others,2.0L Turbocharged Diesel,1956,167.67bhp@3750rpm,350nm@1750-2500rpm,4.0,4.0,,,,,YES,,,,,,,4720mm,1835mm,1760mm,2750mm,,,1860,,192mm,,,,,,6-speed,,6,,,Disc,Disc,"Tubeless, Radial",18,5,155 L,,,Hyderabad
0,Petrol,Hatchback,"18,900",Manual,1,1st Owner,Maruti,Maruti S-Presso,2022,9220,VXi Plus BSVI,₹ 5.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2022,Third Party insurance,Petrol,5 Seats,"18,900 Kms",TS07,First Owner,998 cc,Manual,2022.0,24.76 kmpl,998 CC,65.71bhp,89Nm,,5,Grey,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,,,,,,3565mm,1520,1567,2380,1316,1318,736-775,1170,,,,,,,5 Speed,FWD,5,Power,4.5,Ventilated Disc,Drum,"Tubeless, Radial",,5,,,,Hyderabad
0,Diesel,SUV,"70,754",Manual,1,1st Owner,Kia,Kia Seltos,2019,7115,HTK Plus D,₹ 11.08 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2019,Zero Dep,Diesel,5 Seats,"70,754 Kms",TS11,First Owner,1493 cc,Manual,2019.0,20.8 kmpl,1493 CC,113.43bhp,250nm,16,5,White,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250nm@1500-2750rpm,4.0,4.0,,CRDi,,,Yes,,,,,,,4315mm,1800mm,1645mm,2610mm,,,1475,,,,,,,,6-Speed,FWD,5,Electric,,Disc,Disc,"Tubeless, Radial",16,5,433,,,Hyderabad
0,Petrol,Hatchback,"59,832",Manual,1,1st Owner,Maruti,Maruti S-Presso,2020,7172,VXI 2019-2022,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Dec 2020,Third Party insurance,Petrol,5 Seats,"59,832 Kms",TS28,First Owner,998 cc,Manual,2020.0,21.7 kmpl,998 CC,65.71bhp,89Nm,,5,Grey,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,,,,,,3565,1520,1567,2380,1316,1318,736-775,1170,,,,,,,5 Speed,FWD,5,Power,4.5,Ventilated Disc,Drum,"Tubeless, Radial",,5,,,,Hyderabad
0,Petrol,Sedan,"60,068",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2017,7077,VXI 1.2,₹ 6.05 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2017,Third Party,Petrol,5 Seats,"60,068 Kms",TS08,Second Owner,1197 cc,Manual,2017.0,21.21 kmpl,1197 CC,81.80bhp,113Nm,,5,Red,K Series VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3995mm,1735mm,1515mm,2450mm,1530mm,1520mm,860-895Kg,1315Kg,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,"Tubeless,Radial",,4,378,,12.6 Seconds,Hyderabad
0,Petrol,Hatchback,"41,261",Manual,1,1st Owner,Maruti,Maruti Alto 800,2018,7073,LXI,₹ 3.26 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2018,Comprehensive,Petrol,5 Seats,"41,261 Kms",TS30,First Owner,796 cc,Manual,2018.0,22.05 kmpl,796 CC,47.33bhp,69Nm,,5,Silver,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,,,,,,,,,,3445,1515,1475,2360,1295,1290,755,1185,,,,,,,5 Speed,,5,,4.6,Disc,Drum,Tubeless Tyres,,5,,,,Hyderabad
0,Petrol,SUV,"32,209",Manual,1,1st Owner,Ford,Ford Ecosport,2020,6087,1.5 Petrol Titanium BSIV,₹ 9.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2020,Third Party insurance,Petrol,5 Seats,"32,209 Kms",TS07,First Owner,1497 cc,Manual,2020.0,17 kmpl,1497 CC,121.31bhp,150Nm,16,5,White,Ti-VCT Petrol Engine,1497,121.31bhp@6500rpm,150Nm@4500rpm,3.0,4.0,DOHC,Direct Injection,79 X 76.5 mm,11.0:1,No,No,,,,,,3998mm,1765mm,1647mm,2519mm,,,1242Kg,1660Kg,,,,,,,5 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Drum,"Tubeless,Radial",16,4,352-litres,,,Hyderabad
0,Petrol,Hatchback,"75,747",Manual,1,1st Owner,Honda,Honda Jazz,2018,1339,1.2 V i VTEC,₹ 6.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2018,Comprehensive,Petrol,5 Seats,"75,747 Kms",TS09,First Owner,1199 cc,Manual,2018.0,18.7 kmpl,1199 CC,88.7bhp,110Nm,15,5,Brown,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,SOHC,PGM - Fi,,,No,No,,,,,,3955mm,1694mm,1544mm,2530mm,,,1044kg,,,,,,,,5 Speed,FWD,5,Power,5.1 meters,Disc,Drum,"Tubeless,Radial",15,5,354-litres,172 Kmph,13.7 Seconds,Hyderabad
